time,price
0,6000
1,6080
2,6050
3,5950
4,5850
5,5900
6,5850
7,5790
8,5860
9,5880
10,5880
11,5830
12,5910
13,5890
14,5970
15,5960
16,5980
17,5970
18,6030
19,6070
20,6080
21,5980
22,6050
23,6170
24,6180
25,6140
26,6130
27,6140
28,6100
29,6070
30,5980
31,5990
32,6100
33,6100
34,6150
35,6070
36,6150
37,6110
38,6140
39,6160
40,6100
41,6160
42,6140
43,6120
44,6150
45,6050
46,6060
47,6170
48,6240
49,6160
50,6240
51,6160
52,6280
53,6220
54,6110
55,6060
56,6060
57,6080
58,6090
59,6200
60,6120
61,6130
62,6170
63,6060
64,6160
65,6050
66,6000
67,6090
68,5990
69,6060
70,5970
71,5940
72,5970
73,6020
74,5990
75,6010
76,6020
77,5910
78,5930
79,5920
80,6030
81,5960
82,5840
83,5870
84,5810
85,5740
86,5720
87,5730
88,5810
89,5850
90,5780
91,5710
92,5800
93,5820
94,5760
95,5720
96,5760
97,5700
98,5710
99,5800
100,5710
